Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
0.3503387,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
0.3603387,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
0.3703387,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
0.3803387,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
0.3903387,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
0.4003387,0,0,19,0,0,0.029,-0.015,-1.001,0.3,-0.6,0
0.4103387,0,0,19,0,0,0.029,-0.015,-1.001,0.3,-0.6,0
0.4203387,0,0,19,0,0,0.029,-0.015,-1.001,0.3,-0.6,0
0.4303387,0,0,19,0,0,0.029,-0.015,-1.001,0.3,-0.6,0
0.4403387,0,0,19,0,0,0.029,-0.015,-1.001,0.3,-0.6,0
0.5216145,0,0,19,0,0,0.028,-0.016,-1.002,0.2,-0.6,0
0.5316145,0,0,19,0,0,0.028,-0.016,-1.002,0.2,-0.6,0
0.5416145,0,0,19,0,0,0.028,-0.016,-1.002,0.2,-0.6,0
0.5516145,0,0,19,0,0,0.028,-0.016,-1.002,0.2,-0.6,0
0.5616145,0,0,19,0,0,0.028,-0.016,-1.002,0.2,-0.6,0
0.5716145,0,0,19,0,0,0.03,-0.014,-1.001,0.3,-0.6,0
0.5816145,0,0,19,0,0,0.03,-0.014,-1.001,0.3,-0.6,0
0.5916145,0,0,19,0,0,0.03,-0.014,-1.001,0.3,-0.6,0
0.6016145,0,0,19,0,0,0.03,-0.014,-1.001,0.3,-0.6,0
0.6116145,0,0,19,0,0,0.03,-0.014,-1.001,0.3,-0.6,0
0.6216145,0,0,19,0,0,0.03,-0.015,-1.001,0.2,-0.5,0
0.6316145,0,0,19,0,0,0.03,-0.015,-1.001,0.2,-0.5,0
0.6416145,0,0,19,0,0,0.03,-0.015,-1.001,0.2,-0.5,0
0.6516145,0,0,19,0,0,0.03,-0.015,-1.001,0.2,-0.5,0
0.6616145,0,0,19,0,0,0.03,-0.015,-1.001,0.2,-0.5,0
0.6716145,0,0,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0
0.6816145,0,0,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0
0.6916145,0,0,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0
0.7016145,0,0,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0
0.7116145,0,0,19,0,0,0.029,-0.014,-1.001,0.3,-0.6,0
0.7216145,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0
0.7316145,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0
0.7416145,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0
0.7516145,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0
0.7616145,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0
0.7716145,0,0,19,0,0,0.029,-0.016,-1.002,0.2,-0.5,0.1
0.7816145,0,0,19,0,0,0.029,-0.016,-1.002,0.2,-0.5,0.1
0.7916145,0,0,19,0,0,0.029,-0.016,-1.002,0.2,-0.5,0.1
0.8016145,0,0,19,0,0,0.029,-0.016,-1.002,0.2,-0.5,0.1
0.8116145,0,0,19,0,0,0.029,-0.016,-1.002,0.2,-0.5,0.1
0.8216145,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
0.8316145,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
0.8416145,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
0.8516145,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
0.8616145,0,0,19,0,0,0.029,-0.016,-1.001,0.3,-0.6,0
0.8716145,0,0,19,0,0,0.029,-0.015,-1.002,0.2,-0.6,0
0.8816145,0,0,19,0,0,0.029,-0.015,-1.002,0.2,-0.6,0
0.8916145,0,0,19,0,0,0.029,-0.015,-1.002,0.2,-0.6,0
0.9016145,0,0,19,0,0,0.029,-0.015,-1.002,0.2,-0.6,0
0.9116145,0,0,19,0,0,0.029,-0.015,-1.002,0.2,-0.6,0
0.9320181,0,0,19,0,0,0.03,-0.015,-1.002,0.3,-0.5,0
0.9420181,0,0,19,0,0,0.03,-0.015,-1.002,0.3,-0.5,0
0.9520181,0,0,19,0,0,0.03,-0.015,-1.002,0.3,-0.5,0
