Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
15.7857533,138,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
15.7957533,148,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
15.8057533,136,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
15.8157533,143,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
15.8257533,131,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.2188999,138,0,19,0,0,0.028,-0.018,-1,0.3,-0.7,0
16.2288999,143,0,19,0,0,0.028,-0.018,-1,0.3,-0.7,0
16.2388999,128,0,19,0,0,0.028,-0.018,-1,0.3,-0.7,0
16.2488999,139,0,19,0,0,0.028,-0.018,-1,0.3,-0.7,0
16.2588999,150,0,19,0,0,0.028,-0.018,-1,0.3,-0.7,0
16.2399832,141,0,19,0,0,0.027,-0.018,-1,0.3,-0.6,0
16.2499832,135,0,19,0,0,0.027,-0.018,-1,0.3,-0.6,0
16.2599832,151,0,19,0,0,0.027,-0.018,-1,0.3,-0.6,0
16.2699832,138,0,19,0,0,0.027,-0.018,-1,0.3,-0.6,0
16.2799832,142,0,19,0,0,0.027,-0.018,-1,0.3,-0.6,0
16.4358373,140,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.4458373,138,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.4558373,149,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.4658373,136,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.4758373,146,0,19,0,0,0.027,-0.015,-0.998,0.3,-0.6,0
16.5400818,149,-0.01,19,0,0,0.027,-0.016,-0.999,0.3,-0.7,0
16.5500818,135,-0.01,19,0,0,0.027,-0.016,-0.999,0.3,-0.7,0
16.5600818,141,-0.01,19,0,0,0.027,-0.016,-0.999,0.3,-0.7,0
16.5700818,137,-0.01,19,0,0,0.027,-0.016,-0.999,0.3,-0.7,0
16.5800818,136,-0.01,19,0,0,0.027,-0.016,-0.999,0.3,-0.7,0
16.6112318,148,0,19,0,0,0.028,-0.017,-0.998,0.3,-0.7,0
16.6212318,137,0,19,0,0,0.028,-0.017,-0.998,0.3,-0.7,0
16.6312318,141,0,19,0,0,0.028,-0.017,-0.998,0.3,-0.7,0
16.6412318,132,0,19,0,0,0.028,-0.017,-0.998,0.3,-0.7,0
16.6512318,147,0,19,0,0,0.028,-0.017,-0.998,0.3,-0.7,0
16.6665617,139,0,19,0,0,0.027,-0.019,-0.998,0.3,-0.5,0.1
16.6765617,141,0,19,0,0,0.027,-0.019,-0.998,0.3,-0.5,0.1
16.6865617,142,0,19,0,0,0.027,-0.019,-0.998,0.3,-0.5,0.1
16.6965617,141,0,19,0,0,0.027,-0.019,-0.998,0.3,-0.5,0.1
16.7065617,130,0,19,0,0,0.027,-0.019,-0.998,0.3,-0.5,0.1
16.776212,142,0,19,0,0,0.026,-0.017,-1.002,0.3,-0.5,0
16.786212,141,0,19,0,0,0.026,-0.017,-1.002,0.3,-0.5,0
16.796212,149,0,19,0,0,0.026,-0.017,-1.002,0.3,-0.5,0
16.806212,134,0,19,0,0,0.026,-0.017,-1.002,0.3,-0.5,0
16.816212,145,0,19,0,0,0.026,-0.017,-1.002,0.3,-0.5,0
16.8221196,132,0,19,0,0,0.028,-0.015,-0.997,0.2,-0.6,0
16.8321196,142,0,19,0,0,0.028,-0.015,-0.997,0.2,-0.6,0
16.8421196,145,0,19,0,0,0.028,-0.015,-0.997,0.2,-0.6,0
16.8521196,139,0,19,0,0,0.028,-0.015,-0.997,0.2,-0.6,0
16.8621196,144,0,19,0,0,0.028,-0.015,-0.997,0.2,-0.6,0
16.9213174,129,0,19,0,0,0.028,-0.015,-1,0.4,-0.7,0
16.9313174,139,0,19,0,0,0.028,-0.015,-1,0.4,-0.7,0
16.9413174,141,0,19,0,0,0.028,-0.015,-1,0.4,-0.7,0
16.9513174,149,0,19,0,0,0.028,-0.015,-1,0.4,-0.7,0
16.9613174,133,0,19,0,0,0.028,-0.015,-1,0.4,-0.7,0
17.0185147,141,0.01,19,0,0,0.028,-0.017,-0.999,0.4,-0.6,0
17.0285147,134,0.01,19,0,0,0.028,-0.017,-0.999,0.4,-0.6,0
17.0385147,148,0.01,19,0,0,0.028,-0.017,-0.999,0.4,-0.6,0
17.0485147,130,0.01,19,0,0,0.028,-0.017,-0.999,0.4,-0.6,0
17.0585147,146,0.01,19,0,0,0.028,-0.017,-0.999,0.4,-0.6,0
17.1058542,153,0,19,0,0,0.026,-0.016,-1,0.2,-0.5,0
17.1158542,142,0,19,0,0,0.026,-0.016,-1,0.2,-0.5,0
17.1258542,129,0,19,0,0,0.026,-0.016,-1,0.2,-0.5,0
