Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
3.1677242,0,0,18.8,0,0,0.027,-0.013,-0.999,0,-0.7,0,0
3.1777242,0,0,18.8,0,0,0.027,-0.013,-0.999,0,-0.7,0,0
3.1877242,0,0,18.8,0,0,0.027,-0.013,-0.999,0,-0.7,0,0
3.1977242,0,0,18.8,0,0,0.027,-0.013,-0.999,0,-0.7,0,0
3.2077242,0,0,18.8,0,0,0.027,-0.013,-0.999,0,-0.7,0,0
3.2177242,0,0,18.8,0,0,0.029,-0.012,-0.999,0,-0.7,0,0
3.2277242,0,0,18.8,0,0,0.029,-0.012,-0.999,0,-0.7,0,0
3.2377242,0,0,18.8,0,0,0.029,-0.012,-0.999,0,-0.7,0,0
3.2477242,0,0,18.8,0,0,0.029,-0.012,-0.999,0,-0.7,0,0
3.2577242,0,0,18.8,0,0,0.029,-0.012,-0.999,0,-0.7,0,0
3.3057622,0,0,18.8,0,0,0.026,-0.01,-0.998,0.1,-0.7,0,0
3.3157622,0,0,18.8,0,0,0.026,-0.01,-0.998,0.1,-0.7,0,0
3.3257622,0,0,18.8,0,0,0.026,-0.01,-0.998,0.1,-0.7,0,0
3.3357622,0,0,18.8,0,0,0.026,-0.01,-0.998,0.1,-0.7,0,0
3.3457622,0,0,18.8,0,0,0.026,-0.01,-0.998,0.1,-0.7,0,0
3.3557622,0,0,18.8,0,0,0.029,-0.013,-0.998,0.1,-0.7,0,0
3.3657622,0,0,18.8,0,0,0.029,-0.013,-0.998,0.1,-0.7,0,0
3.3757622,0,0,18.8,0,0,0.029,-0.013,-0.998,0.1,-0.7,0,0
3.3857622,0,0,18.8,0,0,0.029,-0.013,-0.998,0.1,-0.7,0,0
3.3957622,0,0,18.8,0,0,0.029,-0.013,-0.998,0.1,-0.7,0,0
3.4057622,0,0,18.9,0,0,0.028,-0.014,-0.998,0,-0.7,0,0
3.4157622,0,0,18.9,0,0,0.028,-0.014,-0.998,0,-0.7,0,0
3.4257622,0,0,18.9,0,0,0.028,-0.014,-0.998,0,-0.7,0,0
3.4357622,0,0,18.9,0,0,0.028,-0.014,-0.998,0,-0.7,0,0
3.4457622,0,0,18.9,0,0,0.028,-0.014,-0.998,0,-0.7,0,0
3.4557622,0,0,18.8,0,0,0.028,-0.012,-0.998,0.1,-0.7,0,0
3.4657622,0,0,18.8,0,0,0.028,-0.012,-0.998,0.1,-0.7,0,0
3.4757622,0,0,18.8,0,0,0.028,-0.012,-0.998,0.1,-0.7,0,0
3.4857622,0,0,18.8,0,0,0.028,-0.012,-0.998,0.1,-0.7,0,0
3.4957622,0,0,18.8,0,0,0.028,-0.012,-0.998,0.1,-0.7,0,0
3.5057622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
3.5157622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
3.5257622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
3.5357622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
3.5457622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
3.5557622,0,0,18.9,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
3.5657622,0,0,18.9,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
3.5757622,0,0,18.9,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
3.5857622,0,0,18.9,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
3.5957622,0,0,18.9,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
3.6057622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.7,0,0
3.6157622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.7,0,0
3.6257622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.7,0,0
3.6357622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.7,0,0
3.6457622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.7,0,0
3.6557622,0,0,18.9,0,0,0.029,-0.014,-0.999,0,-0.7,0,0
3.6657622,0,0,18.9,0,0,0.029,-0.014,-0.999,0,-0.7,0,0
3.6757622,0,0,18.9,0,0,0.029,-0.014,-0.999,0,-0.7,0,0
3.6857622,0,0,18.9,0,0,0.029,-0.014,-0.999,0,-0.7,0,0
3.6957622,0,0,18.9,0,0,0.029,-0.014,-0.999,0,-0.7,0,0
3.7057622,0,0,18.9,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.7157622,0,0,18.9,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.7257622,0,0,18.9,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.7357622,0,0,18.9,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.7457622,0,0,18.9,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.7557622,0,0,18.8,0,0,0.029,-0.015,-0.998,0,-0.7,0,0
3.7657622,0,0,18.8,0,0,0.029,-0.015,-0.998,0,-0.7,0,0
3.7757622,0,0,18.8,0,0,0.029,-0.015,-0.998,0,-0.7,0,0
3.7857622,0,0,18.8,0,0,0.029,-0.015,-0.998,0,-0.7,0,0
3.7957622,0,0,18.8,0,0,0.029,-0.015,-0.998,0,-0.7,0,0
3.8057622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.8157622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.8257622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.8357622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.8457622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.8557622,0,0,18.9,0,0,0.028,-0.015,-0.998,0.1,-0.7,0,0
3.8657622,0,0,18.9,0,0,0.028,-0.015,-0.998,0.1,-0.7,0,0
3.8757622,0,0,18.9,0,0,0.028,-0.015,-0.998,0.1,-0.7,0,0
3.8857622,0,0,18.9,0,0,0.028,-0.015,-0.998,0.1,-0.7,0,0
3.8957622,0,0,18.9,0,0,0.028,-0.015,-0.998,0.1,-0.7,0,0
3.9057622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.9157622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.9257622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.9357622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.9457622,0,0,18.9,0,0,0.027,-0.01,-0.999,0,-0.7,0,0
3.9557622,0,0,18.8,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.9657622,0,0,18.8,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.9757622,0,0,18.8,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.9857622,0,0,18.8,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
3.9957622,0,0,18.8,0,0,0.028,-0.013,-0.998,0,-0.7,0,0
4.0057622,0,0,18.9,0,0,0.028,-0.013,-0.999,0.1,-0.7,0,0
4.0157622,0,0,18.9,0,0,0.028,-0.013,-0.999,0.1,-0.7,0,0
4.0257622,0,0,18.9,0,0,0.028,-0.013,-0.999,0.1,-0.7,0,0
4.0357622,0,0,18.9,0,0,0.028,-0.013,-0.999,0.1,-0.7,0,0
4.0457622,0,0,18.9,0,0,0.028,-0.013,-0.999,0.1,-0.7,0,0
4.0557622,0,0,18.9,0,0,0.026,-0.01,-0.999,0.1,-0.7,0,0
4.0657622,0,0,18.9,0,0,0.026,-0.01,-0.999,0.1,-0.7,0,0
4.0757622,0,0,18.9,0,0,0.026,-0.01,-0.999,0.1,-0.7,0,0
4.0857622,0,0,18.9,0,0,0.026,-0.01,-0.999,0.1,-0.7,0,0
4.0957622,0,0,18.9,0,0,0.026,-0.01,-0.999,0.1,-0.7,0,0
4.1057622,0,0,18.8,0,0,0.03,-0.014,-0.997,0,-0.7,0,0
4.1157622,0,0,18.8,0,0,0.03,-0.014,-0.997,0,-0.7,0,0
4.1257622,0,0,18.8,0,0,0.03,-0.014,-0.997,0,-0.7,0,0
4.1357622,0,0,18.8,0,0,0.03,-0.014,-0.997,0,-0.7,0,0
4.1457622,0,0,18.8,0,0,0.03,-0.014,-0.997,0,-0.7,0,0
4.1557622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
4.1657622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
4.1757622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
4.1857622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
4.1957622,0,0,18.8,0,0,0.027,-0.012,-0.998,0.1,-0.6,0,0
4.2057622,0,0,18.9,0,0,0.027,-0.011,-0.998,0.1,-0.7,0,0
4.2157622,0,0,18.9,0,0,0.027,-0.011,-0.998,0.1,-0.7,0,0
4.2257622,0,0,18.9,0,0,0.027,-0.011,-0.998,0.1,-0.7,0,0
4.2357622,0,0,18.9,0,0,0.027,-0.011,-0.998,0.1,-0.7,0,0
4.2457622,0,0,18.9,0,0,0.027,-0.011,-0.998,0.1,-0.7,0,0
4.2557622,0,0,18.8,0,0,0.03,-0.017,-0.999,0.1,-0.7,0,0
4.2657622,0,0,18.8,0,0,0.03,-0.017,-0.999,0.1,-0.7,0,0
4.2757622,0,0,18.8,0,0,0.03,-0.017,-0.999,0.1,-0.7,0,0
4.2857622,0,0,18.8,0,0,0.03,-0.017,-0.999,0.1,-0.7,0,0
4.2957622,0,0,18.8,0,0,0.03,-0.017,-0.999,0.1,-0.7,0,0
4.3057622,0,0,18.8,0,0,0.026,-0.01,-0.997,0.1,-0.7,0,0
4.3157622,0,0,18.8,0,0,0.026,-0.01,-0.997,0.1,-0.7,0,0
4.3257622,0,0,18.8,0,0,0.026,-0.01,-0.997,0.1,-0.7,0,0
4.3357622,0,0,18.8,0,0,0.026,-0.01,-0.997,0.1,-0.7,0,0
4.3457622,0,0,18.8,0,0,0.026,-0.01,-0.997,0.1,-0.7,0,0
4.3557622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
4.3657622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
4.3757622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
4.3857622,0,0,18.8,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
