Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
2.878907,0,0,18.8,0,0,0.029,-0.012,-0.995,0.1,-0.7,0.1,0
2.888907,0,0,18.8,0,0,0.029,-0.012,-0.995,0.1,-0.7,0.1,0
2.898907,0,0,18.8,0,0,0.029,-0.012,-0.995,0.1,-0.7,0.1,0
2.908907,0,0,18.8,0,0,0.029,-0.012,-0.995,0.1,-0.7,0.1,0
2.918907,0,0,18.8,0,0,0.029,-0.012,-0.995,0.1,-0.7,0.1,0
2.928907,0,0,18.9,0,0,0.027,-0.01,-0.997,0.1,-0.6,0,0
2.938907,0,0,18.9,0,0,0.027,-0.01,-0.997,0.1,-0.6,0,0
2.948907,0,0,18.9,0,0,0.027,-0.01,-0.997,0.1,-0.6,0,0
2.958907,0,0,18.9,0,0,0.027,-0.01,-0.997,0.1,-0.6,0,0
2.968907,0,0,18.9,0,0,0.027,-0.01,-0.997,0.1,-0.6,0,0
2.978907,0,0,18.9,0,0,0.032,-0.011,-0.999,0.2,-0.6,0,0
2.988907,0,0,18.9,0,0,0.032,-0.011,-0.999,0.2,-0.6,0,0
2.998907,0,0,18.9,0,0,0.032,-0.011,-0.999,0.2,-0.6,0,0
3.008907,0,0,18.9,0,0,0.032,-0.011,-0.999,0.2,-0.6,0,0
3.018907,0,0,18.9,0,0,0.032,-0.011,-0.999,0.2,-0.6,0,0
3.0583165,0,0,18.9,0,0,0.028,-0.01,-0.996,0.1,-0.6,0.1,0
3.0683165,0,0,18.9,0,0,0.028,-0.01,-0.996,0.1,-0.6,0.1,0
3.0783165,0,0,18.9,0,0,0.028,-0.01,-0.996,0.1,-0.6,0.1,0
3.0883165,0,0,18.9,0,0,0.028,-0.01,-0.996,0.1,-0.6,0.1,0
3.0983165,0,0,18.9,0,0,0.028,-0.01,-0.996,0.1,-0.6,0.1,0
3.1083165,0,0,18.8,0,0,0.032,-0.012,-0.997,0.1,-0.7,0,0
3.1183165,0,0,18.8,0,0,0.032,-0.012,-0.997,0.1,-0.7,0,0
3.1283165,0,0,18.8,0,0,0.032,-0.012,-0.997,0.1,-0.7,0,0
