Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
25.4483668,133,-0.004,19,25,24
25.4583668,128,-0.004,19,25,24
25.4683668,138,-0.004,19,25,24
25.4783668,135,-0.004,19,25,24
25.4883668,138,-0.004,19,25,24
25.4983668,140,-0.004,19,25,24
25.5083668,151,-0.004,19,25,24
25.5183668,141,-0.004,19,25,24
25.5283668,139,-0.004,19,25,24
25.5383668,121,-0.004,19,25,24
35.578484,145,-0.006,19,25,24
35.588484,141,-0.006,19,25,24
35.598484,150,-0.006,19,25,24
35.608484,136,-0.006,19,25,24
35.618484,147,-0.006,19,25,24
35.628484,142,-0.006,19,25,24
35.638484,148,-0.006,19,25,24
35.648484,135,-0.006,19,25,24
35.658484,151,-0.006,19,25,24
35.668484,142,-0.006,19,25,24
45.7405963,153,-0.017,19,25,24
45.7505963,154,-0.017,19,25,24
45.7605963,144,-0.017,19,25,24
45.7705963,143,-0.017,19,25,24
45.7805963,138,-0.017,19,25,24
45.7905963,154,-0.017,19,25,24
45.8005963,154,-0.017,19,25,24
45.8105963,162,-0.017,19,25,24
45.8205963,152,-0.017,19,25,24
45.8305963,150,-0.017,19,25,24
86.2516961,160,0.025,19,25,25
86.2616961,150,0.025,19,25,25
86.2716961,149,0.025,19,25,25
86.2816961,155,0.025,19,25,25
86.2916961,146,0.025,19,25,25
86.3016961,152,0.025,19,25,25
86.3116961,155,0.025,19,25,25
86.3216961,157,0.025,19,25,25
86.3316961,159,0.025,19,25,25
86.3416961,165,0.025,19,25,25
