Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
12.6413331,0,0.01,19,0,0,0.028,-0.015,-1,0.3,-0.6,0
12.6513331,0,0.01,19,0,0,0.028,-0.015,-1,0.3,-0.6,0
12.6613331,0,0.01,19,0,0,0.028,-0.015,-1,0.3,-0.6,0
12.6713331,0,0.01,19,0,0,0.028,-0.015,-1,0.3,-0.6,0
12.6813331,0,0.01,19,0,0,0.028,-0.015,-1,0.3,-0.6,0
13.2319641,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.6,0
13.2419641,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.6,0
13.2519641,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.6,0
13.2619641,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.6,0
13.2719641,0,0,19,0,0,0.028,-0.016,-1.001,0.3,-0.6,0
23.3071372,0,0,19,0,0,0.027,-0.015,-1,0.3,-0.5,0
23.3171372,0,0,19,0,0,0.027,-0.015,-1,0.3,-0.5,0
23.3271372,0,0,19,0,0,0.027,-0.015,-1,0.3,-0.5,0
23.3371372,0,0,19,0,0,0.027,-0.015,-1,0.3,-0.5,0
23.3471372,0,0,19,0,0,0.027,-0.015,-1,0.3,-0.5,0
23.3648477,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
23.3748477,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
23.3848477,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
23.3948477,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
23.4048477,0,0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
23.4887804,0,0.01,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
23.4987804,0,0.01,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
23.5087804,0,0.01,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
23.5187804,0,0.01,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
23.5287804,0,0.01,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
23.6643561,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0.1
23.6743561,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0.1
23.6843561,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0.1
23.6943561,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0.1
23.7043561,0,0,19,0,0,0.029,-0.015,-1.002,0.3,-0.6,0.1
43.7031406,0,0,19,0,0,0.028,-0.015,-1,0.3,-0.6,0.1
43.7131406,0,0,19,0,0,0.028,-0.015,-1,0.3,-0.6,0.1
