Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
3.6850849,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
3.6950849,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
3.7050849,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
3.7150849,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
3.7250849,0,0,19,0,0,0.028,-0.015,-1.002,0.3,-0.6,0
4.0817442,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.0917442,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.1017442,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.1117442,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.1217442,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.5704098,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.5804098,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.5904098,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.6004098,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
4.6104098,0,0,19,0,0,0.028,-0.015,-1.001,0.3,-0.6,0
5.0583382,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
5.0683382,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
5.0783382,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
5.0883382,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
5.0983382,0,0,19,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
5.6123746,0,0,19,0,0,0.028,-0.015,-1.002,0.4,-0.6,0
5.6223746,0,0,19,0,0,0.028,-0.015,-1.002,0.4,-0.6,0
5.6323746,0,0,19,0,0,0.028,-0.015,-1.002,0.4,-0.6,0
5.6423746,0,0,19,0,0,0.028,-0.015,-1.002,0.4,-0.6,0
5.6523746,0,0,19,0,0,0.028,-0.015,-1.002,0.4,-0.6,0
6.0561725,0,-0.01,19,0,0,0.03,-0.014,-0.996,0.4,-0.6,0
6.0661725,0,-0.01,19,0,0,0.03,-0.014,-0.996,0.4,-0.6,0
6.0761725,0,-0.01,19,0,0,0.03,-0.014,-0.996,0.4,-0.6,0
6.0861725,0,-0.01,19,0,0,0.03,-0.014,-0.996,0.4,-0.6,0
6.0961725,21,-0.01,19,0,0,0.03,-0.014,-0.996,0.4,-0.6,0
6.5584099,18,0,19,0,0,0.029,-0.015,-1,0.3,-0.8,0
6.5684099,15,0,19,0,0,0.029,-0.015,-1,0.3,-0.8,0
6.5784099,14,0,19,0,0,0.029,-0.015,-1,0.3,-0.8,0
6.5884099,24,0,19,0,0,0.029,-0.015,-1,0.3,-0.8,0
6.5984099,26,0,19,0,0,0.029,-0.015,-1,0.3,-0.8,0
7.0394227,31,0,19,0,0,0.028,-0.015,-1.005,0.3,-0.7,0
7.0494227,0,0,19,0,0,0.028,-0.015,-1.005,0.3,-0.7,0
7.0594227,16,0,19,0,0,0.028,-0.015,-1.005,0.3,-0.7,0
7.0694227,26,0,19,0,0,0.028,-0.015,-1.005,0.3,-0.7,0
7.0794227,11,0,19,0,0,0.028,-0.015,-1.005,0.3,-0.7,0
7.5555946,42,0,19,0,0,0.028,-0.017,-1.003,0.3,-0.7,0
7.5655946,0,0,19,0,0,0.028,-0.017,-1.003,0.3,-0.7,0
7.5755946,30,0,19,0,0,0.028,-0.017,-1.003,0.3,-0.7,0
7.5855946,30,0,19,0,0,0.028,-0.017,-1.003,0.3,-0.7,0
7.5955946,36,0,19,0,0,0.028,-0.017,-1.003,0.3,-0.7,0
8.0499536,45,-0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.5,0
8.0599536,70,-0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.5,0
8.0699536,31,-0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.5,0
8.0799536,36,-0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.5,0
8.0899536,35,-0.01,19,0,0,0.028,-0.015,-1.001,0.3,-0.5,0
8.5568888,0,0,19,0,0,0.028,-0.015,-1,0.3,-0.3,0
