Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
25.5552177,151,-0.003,19,26,25
25.5652177,185,-0.003,19,26,25
25.5752177,144,-0.003,19,26,25
25.5852177,146,-0.003,19,26,25
25.5952177,177,-0.003,19,26,25
25.6052177,148,-0.003,19,26,25
25.6152177,132,-0.003,19,26,25
25.6252177,147,-0.003,19,26,25
25.6352177,160,-0.003,19,26,25
25.6452177,189,-0.003,19,26,25
35.7418437,168,0,19,26,25
35.7518437,151,0,19,26,25
35.7618437,158,0,19,26,25
35.7718437,131,0,19,26,25
35.7818437,146,0,19,26,25
35.7918437,168,0,19,26,25
35.8018437,157,0,19,26,25
35.8118437,184,0,19,26,25
35.8218437,134,0,19,26,25
35.8318437,155,0,19,26,25
45.9226087,153,-0.028,19,26,25
45.9326087,152,-0.028,19,26,25
45.9426087,156,-0.028,19,26,25
45.9526087,151,-0.028,19,26,25
45.9626087,145,-0.028,19,26,25
45.9726087,148,-0.028,19,26,25
45.9826087,184,-0.028,19,26,25
45.9926087,144,-0.028,19,26,25
46.0026087,195,-0.028,19,26,25
46.0126087,124,-0.028,19,26,25
56.1842726,126,0.001,19,26,25
56.1942726,151,0.001,19,26,25
56.2042726,187,0.001,19,26,25
56.2142726,153,0.001,19,26,25
56.2242726,187,0.001,19,26,25
56.2342726,129,0.001,19,26,25
56.2442726,163,0.001,19,26,25
56.2542726,164,0.001,19,26,25
56.2642726,152,0.001,19,26,25
56.2742726,194,0.001,19,26,25
66.3762799,184,0.01,19,26,25
66.3862799,152,0.01,19,26,25
66.3962799,163,0.01,19,26,25
66.4062799,133,0.01,19,26,25
66.4162799,144,0.01,19,26,25
66.4262799,170,0.01,19,26,25
66.4362799,152,0.01,19,26,25
66.4462799,185,0.01,19,26,25
66.4562799,138,0.01,19,26,25
66.4662799,149,0.01,19,26,25
76.6211153,183,0.01,19,26,25
76.6311153,151,0.01,19,26,25
76.6411153,183,0.01,19,26,25
76.6511153,133,0.01,19,26,25
76.6611153,133,0.01,19,26,25
76.6711153,163,0.01,19,26,25
76.6811153,187,0.01,19,26,25
76.6911153,204,0.01,19,26,25
76.7011153,182,0.01,19,26,25
76.7111153,177,0.01,19,26,25
