Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
2.9098723,0,0,18.9,0,0,0.026,-0.01,-1.007,0.3,-0.5,0.1
2.9198723,0,0,18.9,0,0,0.026,-0.01,-1.007,0.3,-0.5,0.1
2.9298723,0,0,18.9,0,0,0.026,-0.01,-1.007,0.3,-0.5,0.1
2.9398723,0,0,18.9,0,0,0.026,-0.01,-1.007,0.3,-0.5,0.1
2.9498723,0,0,18.9,0,0,0.026,-0.01,-1.007,0.3,-0.5,0.1
2.9598723,0,0,18.8,0,0,0.028,-0.013,-1.005,0.3,-0.5,0.1
2.9698723,0,0,18.8,0,0,0.028,-0.013,-1.005,0.3,-0.5,0.1
2.9798723,0,0,18.8,0,0,0.028,-0.013,-1.005,0.3,-0.5,0.1
2.9898723,0,0,18.8,0,0,0.028,-0.013,-1.005,0.3,-0.5,0.1
2.9998723,0,0,18.8,0,0,0.028,-0.013,-1.005,0.3,-0.5,0.1
3.0439445,0,0,18.9,0,0,0.028,-0.014,-1.003,0.4,-0.6,0
3.0539445,0,0,18.9,0,0,0.028,-0.014,-1.003,0.4,-0.6,0
3.0639445,0,0,18.9,0,0,0.028,-0.014,-1.003,0.4,-0.6,0
3.0739445,0,0,18.9,0,0,0.028,-0.014,-1.003,0.4,-0.6,0
3.0839445,0,0,18.9,0,0,0.028,-0.014,-1.003,0.4,-0.6,0
3.0939445,0,0,18.9,0,0,0.03,-0.012,-1.001,0.3,-0.6,0
3.1039445,0,0,18.9,0,0,0.03,-0.012,-1.001,0.3,-0.6,0
3.1139445,0,0,18.9,0,0,0.03,-0.012,-1.001,0.3,-0.6,0
3.1239445,0,0,18.9,0,0,0.03,-0.012,-1.001,0.3,-0.6,0
3.1339445,0,0,18.9,0,0,0.03,-0.012,-1.001,0.3,-0.6,0
3.1701467,0,0,18.8,0,0,0.027,-0.014,-1.002,0.3,-0.4,0
3.1801467,0,0,18.8,0,0,0.027,-0.014,-1.002,0.3,-0.4,0
3.1901467,0,0,18.8,0,0,0.027,-0.014,-1.002,0.3,-0.4,0
3.2001467,0,0,18.8,0,0,0.027,-0.014,-1.002,0.3,-0.4,0
3.2101467,0,0,18.8,0,0,0.027,-0.014,-1.002,0.3,-0.4,0
3.2201467,0,0,18.8,0,0,0.029,-0.012,-1,0.4,-0.5,0
3.2301467,0,0,18.8,0,0,0.029,-0.012,-1,0.4,-0.5,0
3.2401467,0,0,18.8,0,0,0.029,-0.012,-1,0.4,-0.5,0
3.2501467,0,0,18.8,0,0,0.029,-0.012,-1,0.4,-0.5,0
3.2601467,0,0,18.8,0,0,0.029,-0.012,-1,0.4,-0.5,0
3.2847856,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.6,0
3.2947856,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.6,0
3.3047856,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.6,0
3.3147856,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.6,0
3.3247856,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.6,0
3.3347856,0,0,18.8,0,0,0.03,-0.012,-1.002,0.3,-0.6,0
3.3447856,0,0,18.8,0,0,0.03,-0.012,-1.002,0.3,-0.6,0
3.3547856,0,0,18.8,0,0,0.03,-0.012,-1.002,0.3,-0.6,0
3.3647856,0,0,18.8,0,0,0.03,-0.012,-1.002,0.3,-0.6,0
3.3747856,0,0,18.8,0,0,0.03,-0.012,-1.002,0.3,-0.6,0
3.4422757,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.5,0
3.4522757,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.5,0
3.4622757,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.5,0
3.4722757,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.5,0
3.4822757,0,0,18.8,0,0,0.027,-0.014,-1,0.3,-0.5,0
3.5989125,0,0,18.8,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
3.6089125,0,0,18.8,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
3.6189125,0,0,18.8,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
3.6289125,0,0,18.8,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
3.6389125,0,0,18.8,0,0,0.028,-0.014,-1.002,0.3,-0.6,0
3.7480228,0,0,18.9,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
3.7580228,0,0,18.9,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
3.7680228,0,0,18.9,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
3.7780228,0,0,18.9,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
3.7880228,0,0,18.9,0,0,0.028,-0.014,-1.002,0.3,-0.5,0
3.8375654,0,0,18.9,0,0,0.029,-0.014,-1,0.3,-0.5,0
3.8475654,0,0,18.9,0,0,0.029,-0.014,-1,0.3,-0.5,0
3.8575654,0,0,18.9,0,0,0.029,-0.014,-1,0.3,-0.5,0
3.8675654,0,0,18.9,0,0,0.029,-0.014,-1,0.3,-0.5,0
3.8775654,0,0,18.9,0,0,0.029,-0.014,-1,0.3,-0.5,0
3.8907994,0,0,18.8,0,0,0.029,-0.014,-1.001,0.3,-0.5,0
3.9007994,0,0,18.8,0,0,0.029,-0.014,-1.001,0.3,-0.5,0
3.9107994,0,0,18.8,0,0,0.029,-0.014,-1.001,0.3,-0.5,0
3.9207994,0,0,18.8,0,0,0.029,-0.014,-1.001,0.3,-0.5,0
3.9307994,0,0,18.8,0,0,0.029,-0.014,-1.001,0.3,-0.5,0
3.9581811,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
3.9681811,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
3.9781811,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
3.9881811,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
3.9981811,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
4.0081811,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.5,0.1
4.0181811,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.5,0.1
4.0281811,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.5,0.1
4.0381811,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.5,0.1
4.0481811,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.5,0.1
4.0581811,0,0,18.9,0,0,0.028,-0.012,-1,0.2,-0.5,0
4.0681811,0,0,18.9,0,0,0.028,-0.012,-1,0.2,-0.5,0
4.0781811,0,0,18.9,0,0,0.028,-0.012,-1,0.2,-0.5,0
4.0881811,0,0,18.9,0,0,0.028,-0.012,-1,0.2,-0.5,0
4.0981811,0,0,18.9,0,0,0.028,-0.012,-1,0.2,-0.5,0
4.1397707,0,0,18.9,0,0,0.029,-0.015,-1,0.3,-0.5,0.1
4.1497707,0,0,18.9,0,0,0.029,-0.015,-1,0.3,-0.5,0.1
4.1597707,0,0,18.9,0,0,0.029,-0.015,-1,0.3,-0.5,0.1
4.1697707,0,0,18.9,0,0,0.029,-0.015,-1,0.3,-0.5,0.1
4.1797707,0,0,18.9,0,0,0.029,-0.015,-1,0.3,-0.5,0.1
4.1897707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.1997707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.2097707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.2197707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.2297707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.2397707,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
4.2497707,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
4.2597707,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
4.2697707,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
4.2797707,0,0,18.8,0,0,0.028,-0.014,-1.001,0.3,-0.6,0
4.2897707,0,0,18.9,0,0,0.028,-0.014,-1.001,0.2,-0.5,0
4.2997707,0,0,18.9,0,0,0.028,-0.014,-1.001,0.2,-0.5,0
4.3097707,0,0,18.9,0,0,0.028,-0.014,-1.001,0.2,-0.5,0
4.3197707,0,0,18.9,0,0,0.028,-0.014,-1.001,0.2,-0.5,0
4.3297707,0,0,18.9,0,0,0.028,-0.014,-1.001,0.2,-0.5,0
4.3397707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.6,0
4.3497707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.6,0
4.3597707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.6,0
4.3697707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.6,0
4.3797707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.6,0
4.3897707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.3997707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.4097707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.4197707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.4297707,0,0,18.8,0,0,0.029,-0.013,-1,0.3,-0.5,0
4.4397707,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
4.4497707,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
4.4597707,0,0,18.8,0,0,0.028,-0.013,-1,0.3,-0.6,0
