Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
5.4302237,0,0,19,0,0,0.03,-0.016,-1,0.2,-0.6,0
5.4402237,0,0,19,0,0,0.03,-0.016,-1,0.2,-0.6,0
5.4502237,0,0,19,0,0,0.03,-0.016,-1,0.2,-0.6,0
5.4602237,0,0,19,0,0,0.03,-0.016,-1,0.2,-0.6,0
5.4702237,0,0,19,0,0,0.03,-0.016,-1,0.2,-0.6,0
5.4802237,0,-0.01,19,0,0,0.03,-0.014,-1,0.3,-0.5,0
5.4902237,0,-0.01,19,0,0,0.03,-0.014,-1,0.3,-0.5,0
5.5002237,0,-0.01,19,0,0,0.03,-0.014,-1,0.3,-0.5,0
5.5102237,0,-0.01,19,0,0,0.03,-0.014,-1,0.3,-0.5,0
5.5202237,0,-0.01,19,0,0,0.03,-0.014,-1,0.3,-0.5,0
5.5302237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.7,0
5.5402237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.7,0
5.5502237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.7,0
5.5602237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.7,0
5.5702237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.7,0
5.5802237,0,0,19,0,0,0.03,-0.015,-0.999,0.1,-0.5,0
5.5902237,0,0,19,0,0,0.03,-0.015,-0.999,0.1,-0.5,0
5.6002237,0,0,19,0,0,0.03,-0.015,-0.999,0.1,-0.5,0
5.6102237,0,0,19,0,0,0.03,-0.015,-0.999,0.1,-0.5,0
5.6202237,0,0,19,0,0,0.03,-0.015,-0.999,0.1,-0.5,0
5.6302237,0,0,19,0,0,0.029,-0.014,-0.999,0.2,-0.6,0
5.6402237,0,0,19,0,0,0.029,-0.014,-0.999,0.2,-0.6,0
5.6502237,0,0,19,0,0,0.029,-0.014,-0.999,0.2,-0.6,0
5.6602237,0,0,19,0,0,0.029,-0.014,-0.999,0.2,-0.6,0
5.6702237,0,0,19,0,0,0.029,-0.014,-0.999,0.2,-0.6,0
5.6802237,0,0,19,0,0,0.031,-0.014,-1,0.3,-0.6,0
5.6902237,0,0,19,0,0,0.031,-0.014,-1,0.3,-0.6,0
5.7002237,0,0,19,0,0,0.031,-0.014,-1,0.3,-0.6,0
5.7102237,0,0,19,0,0,0.031,-0.014,-1,0.3,-0.6,0
5.7202237,0,0,19,0,0,0.031,-0.014,-1,0.3,-0.6,0
5.7302237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.6,0
5.7402237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.6,0
5.7502237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.6,0
5.7602237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.6,0
5.7702237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.6,0
5.7802237,0,0,19,0,0,0.03,-0.014,-0.999,0.2,-0.6,0
5.7902237,0,0,19,0,0,0.03,-0.014,-0.999,0.2,-0.6,0
5.8002237,0,0,19,0,0,0.03,-0.014,-0.999,0.2,-0.6,0
5.8102237,0,0,19,0,0,0.03,-0.014,-0.999,0.2,-0.6,0
5.8202237,0,0,19,0,0,0.03,-0.014,-0.999,0.2,-0.6,0
5.8302237,0,0,19,0,0,0.031,-0.016,-0.999,0.2,-0.5,0
5.8402237,0,0,19,0,0,0.031,-0.016,-0.999,0.2,-0.5,0
5.8502237,0,0,19,0,0,0.031,-0.016,-0.999,0.2,-0.5,0
5.8602237,0,0,19,0,0,0.031,-0.016,-0.999,0.2,-0.5,0
5.8702237,0,0,19,0,0,0.031,-0.016,-0.999,0.2,-0.5,0
5.8802237,0,-0.01,19,0,0,0.031,-0.015,-1,0.3,-0.5,0
5.8902237,0,-0.01,19,0,0,0.031,-0.015,-1,0.3,-0.5,0
5.9002237,0,-0.01,19,0,0,0.031,-0.015,-1,0.3,-0.5,0
5.9102237,0,-0.01,19,0,0,0.031,-0.015,-1,0.3,-0.5,0
5.9202237,0,-0.01,19,0,0,0.031,-0.015,-1,0.3,-0.5,0
5.9302237,0,-0.01,19,0,0,0.031,-0.014,-0.999,0.3,-0.6,0
5.9402237,0,-0.01,19,0,0,0.031,-0.014,-0.999,0.3,-0.6,0
5.9502237,0,-0.01,19,0,0,0.031,-0.014,-0.999,0.3,-0.6,0
5.9602237,0,-0.01,19,0,0,0.031,-0.014,-0.999,0.3,-0.6,0
5.9702237,0,-0.01,19,0,0,0.031,-0.014,-0.999,0.3,-0.6,0
5.9802237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.5,0
5.9902237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.5,0
6.0002237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.5,0
6.0102237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.5,0
6.0202237,0,0,19,0,0,0.03,-0.015,-0.999,0.2,-0.5,0
6.0302237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.0402237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.0502237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.0602237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.0702237,0,-0.01,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.0802237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.0902237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1002237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1102237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1202237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1302237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1402237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1502237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1602237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1702237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1802237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.1902237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.2002237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.2102237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.2202237,0,0,19,0,0,0.03,-0.014,-1,0.3,-0.6,0
6.2302237,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
6.2402237,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
6.2502237,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
6.2602237,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
6.2702237,0,0,19,0,0,0.03,-0.015,-1,0.3,-0.6,0
6.2802237,0,0,19,0,0,0.031,-0.013,-0.999,0.2,-0.6,0
6.2902237,0,0,19,0,0,0.031,-0.013,-0.999,0.2,-0.6,0
6.3002237,0,0,19,0,0,0.031,-0.013,-0.999,0.2,-0.6,0
6.3102237,0,0,19,0,0,0.031,-0.013,-0.999,0.2,-0.6,0
6.3202237,0,0,19,0,0,0.031,-0.013,-0.999,0.2,-0.6,0
6.3302237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.3402237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.3502237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.3602237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.3702237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.3802237,0,0,19,0,0,0.03,-0.015,-1,0.2,-0.6,0
6.3902237,0,0,19,0,0,0.03,-0.015,-1,0.2,-0.6,0
6.4002237,0,0,19,0,0,0.03,-0.015,-1,0.2,-0.6,0
6.4102237,0,0,19,0,0,0.03,-0.015,-1,0.2,-0.6,0
6.4202237,0,0,19,0,0,0.03,-0.015,-1,0.2,-0.6,0
6.4302237,0,0,19,0,0,0.03,-0.015,-0.998,0.3,-0.6,0
6.4402237,0,0,19,0,0,0.03,-0.015,-0.998,0.3,-0.6,0
6.4502237,0,0,19,0,0,0.03,-0.015,-0.998,0.3,-0.6,0
6.4602237,0,0,19,0,0,0.03,-0.015,-0.998,0.3,-0.6,0
6.4702237,0,0,19,0,0,0.03,-0.015,-0.998,0.3,-0.6,0
6.4802237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
6.4902237,0,0,19,0,0,0.031,-0.015,-0.999,0.3,-0.6,0
