Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
3.2793306,0,0,19.7,0,0,0.032,-0.006,-0.989,0.2,-0.4,0.1,0
3.2893306,0,0,19.7,0,0,0.032,-0.006,-0.989,0.2,-0.4,0.1,0
3.2993306,0,0,19.7,0,0,0.032,-0.006,-0.989,0.2,-0.4,0.1,0
3.3093306,0,0,19.7,0,0,0.032,-0.006,-0.989,0.2,-0.4,0.1,0
3.3193306,0,0,19.7,0,0,0.032,-0.006,-0.989,0.2,-0.4,0.1,0
3.3293306,0,0,19.8,0,0,0.032,-0.006,-0.991,0,-0.3,0,0
3.3393306,0,0,19.8,0,0,0.032,-0.006,-0.991,0,-0.3,0,0
3.3493306,0,0,19.8,0,0,0.032,-0.006,-0.991,0,-0.3,0,0
3.3593306,0,0,19.8,0,0,0.032,-0.006,-0.991,0,-0.3,0,0
3.3693306,0,0,19.8,0,0,0.032,-0.006,-0.991,0,-0.3,0,0
3.3793306,0,0,19.8,0,0,0.032,-0.006,-0.99,0.1,-0.4,0.1,0
3.3893306,0,0,19.8,0,0,0.032,-0.006,-0.99,0.1,-0.4,0.1,0
3.3993306,0,0,19.8,0,0,0.032,-0.006,-0.99,0.1,-0.4,0.1,0
3.4093306,0,0,19.8,0,0,0.032,-0.006,-0.99,0.1,-0.4,0.1,0
3.4193306,0,0,19.8,0,0,0.032,-0.006,-0.99,0.1,-0.4,0.1,0
3.4293306,0,0,19.7,0,0,0.031,-0.007,-0.992,0.1,-0.4,0,0
3.4393306,0,0,19.7,0,0,0.031,-0.007,-0.992,0.1,-0.4,0,0
3.4493306,0,0,19.7,0,0,0.031,-0.007,-0.992,0.1,-0.4,0,0
3.4593306,0,0,19.7,0,0,0.031,-0.007,-0.992,0.1,-0.4,0,0
3.4693306,0,0,19.7,0,0,0.031,-0.007,-0.992,0.1,-0.4,0,0
3.4793306,0,0,19.8,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.4893306,0,0,19.8,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.4993306,0,0,19.8,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.5093306,0,0,19.8,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.5193306,0,0,19.8,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.5293306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.2,-0.3,0,0
3.5393306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.2,-0.3,0,0
3.5493306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.2,-0.3,0,0
3.5593306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.2,-0.3,0,0
3.5693306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.2,-0.3,0,0
3.5793306,0,0,19.8,0,0,0.031,-0.006,-0.99,0.1,-0.3,0.1,0
3.5893306,0,0,19.8,0,0,0.031,-0.006,-0.99,0.1,-0.3,0.1,0
3.5993306,0,0,19.8,0,0,0.031,-0.006,-0.99,0.1,-0.3,0.1,0
3.6093306,0,0,19.8,0,0,0.031,-0.006,-0.99,0.1,-0.3,0.1,0
3.6193306,0,0,19.8,0,0,0.031,-0.006,-0.99,0.1,-0.3,0.1,0
3.6293306,0,0,19.8,0,0,0.031,-0.007,-0.991,0.1,-0.3,0.1,0
3.6393306,0,0,19.8,0,0,0.031,-0.007,-0.991,0.1,-0.3,0.1,0
3.6493306,0,0,19.8,0,0,0.031,-0.007,-0.991,0.1,-0.3,0.1,0
3.6593306,0,0,19.8,0,0,0.031,-0.007,-0.991,0.1,-0.3,0.1,0
3.6693306,0,0,19.8,0,0,0.031,-0.007,-0.991,0.1,-0.3,0.1,0
3.6793306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.1,-0.3,0.1,0
3.6893306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.1,-0.3,0.1,0
3.6993306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.1,-0.3,0.1,0
3.7093306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.1,-0.3,0.1,0
3.7193306,0,0,19.7,0,0,0.031,-0.007,-0.99,0.1,-0.3,0.1,0
3.7293306,0,0,19.7,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.7393306,0,0,19.7,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.7493306,0,0,19.7,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.7593306,0,0,19.7,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.7693306,0,0,19.7,0,0,0.031,-0.005,-0.99,0.1,-0.3,0.1,0
3.7793306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.7893306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.7993306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.8093306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.8193306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.8293306,0,0,19.7,0,0,0.031,-0.007,-0.99,0,-0.3,0,0
3.8393306,0,0,19.7,0,0,0.031,-0.007,-0.99,0,-0.3,0,0
3.8493306,0,0,19.7,0,0,0.031,-0.007,-0.99,0,-0.3,0,0
3.8593306,0,0,19.7,0,0,0.031,-0.007,-0.99,0,-0.3,0,0
3.8693306,0,0,19.7,0,0,0.031,-0.007,-0.99,0,-0.3,0,0
3.8793306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.8893306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.8993306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.9093306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.9193306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0.1,0
3.9293306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0,0
3.9393306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0,0
3.9493306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0,0
3.9593306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0,0
3.9693306,0,0,19.8,0,0,0.032,-0.007,-0.99,0.1,-0.3,0,0
3.9793306,0,0,19.8,0,0,0.03,-0.006,-0.99,0.1,-0.3,0,0
3.9893306,0,0,19.8,0,0,0.03,-0.006,-0.99,0.1,-0.3,0,0
3.9993306,0,0,19.8,0,0,0.03,-0.006,-0.99,0.1,-0.3,0,0
4.0093306,0,0,19.8,0,0,0.03,-0.006,-0.99,0.1,-0.3,0,0
4.0193306,0,0,19.8,0,0,0.03,-0.006,-0.99,0.1,-0.3,0,0
4.0293306,0,0,19.8,0,0,0.03,-0.007,-0.99,0.3,-0.4,0.1,0
4.0393306,0,0,19.8,0,0,0.03,-0.007,-0.99,0.3,-0.4,0.1,0
4.0493306,0,0,19.8,0,0,0.03,-0.007,-0.99,0.3,-0.4,0.1,0
4.0593306,0,0,19.8,0,0,0.03,-0.007,-0.99,0.3,-0.4,0.1,0
4.0693306,0,0,19.8,0,0,0.03,-0.007,-0.99,0.3,-0.4,0.1,0
4.0793306,0,0,19.7,0,0,0.031,-0.005,-0.989,0,-0.2,0.1,0
4.0893306,0,0,19.7,0,0,0.031,-0.005,-0.989,0,-0.2,0.1,0
4.0993306,0,0,19.7,0,0,0.031,-0.005,-0.989,0,-0.2,0.1,0
4.1093306,0,0,19.7,0,0,0.031,-0.005,-0.989,0,-0.2,0.1,0
4.1193306,0,0,19.7,0,0,0.031,-0.005,-0.989,0,-0.2,0.1,0
4.1293306,0,0,19.8,0,0,0.032,-0.008,-0.991,0.3,-0.4,0,0
4.1393306,0,0,19.8,0,0,0.032,-0.008,-0.991,0.3,-0.4,0,0
4.1493306,0,0,19.8,0,0,0.032,-0.008,-0.991,0.3,-0.4,0,0
4.1593306,0,0,19.8,0,0,0.032,-0.008,-0.991,0.3,-0.4,0,0
4.1693306,0,0,19.8,0,0,0.032,-0.008,-0.991,0.3,-0.4,0,0
