Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
1.0953199,108,-0.004,19,24,24
2.0953199,104,-0.004,19,24,24
3.0953199,87,-0.004,19,24,24
4.0953199,107,-0.004,19,24,24
5.0953199,87,-0.004,19,24,24
6.0953199,114,-0.004,19,24,24
7.0953199,111,-0.004,19,24,24
8.0953199,114,-0.004,19,24,24
24.0358684,128,-0.021,19,25,24
24.0458684,143,-0.021,19,25,24
24.0558684,134,-0.021,19,25,24
24.0658684,146,-0.021,19,25,24
24.0758684,136,-0.021,19,25,24
24.0858684,132,-0.021,19,25,24
24.0958684,143,-0.021,19,25,24
24.1058684,127,-0.021,19,25,24
28.274496,138,0.001,19,24,24
28.284496,130,0.001,19,24,24
28.294496,141,0.001,19,24,24
28.304496,135,0.001,19,24,24
28.314496,146,0.001,19,24,24
28.324496,139,0.001,19,24,24
28.334496,139,0.001,19,24,24
28.344496,128,0.001,19,24,24
42.0809563,147,-0.001,19,25,24
42.0909563,157,-0.001,19,25,24
42.1009563,138,-0.001,19,25,24
42.1109563,135,-0.001,19,25,24
42.1209563,134,-0.001,19,25,24
42.1309563,128,-0.001,19,25,24
42.1409563,130,-0.001,19,25,24
42.1509563,151,-0.001,19,25,24
