Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
2.2551888,0,0,18.8,0,0,0.024,-0.016,-0.996,0.1,-0.7,0,0
2.2651888,0,0,18.8,0,0,0.024,-0.016,-0.996,0.1,-0.7,0,0
2.2751888,0,0,18.8,0,0,0.024,-0.016,-0.996,0.1,-0.7,0,0
2.2851888,0,0,18.8,0,0,0.024,-0.016,-0.996,0.1,-0.7,0,0
2.2951888,0,0,18.8,0,0,0.024,-0.016,-0.996,0.1,-0.7,0,0
2.3051888,0,0,18.8,0,0,0.03,-0.009,-1,0,-0.6,-0.1,0
2.3151888,0,0,18.8,0,0,0.03,-0.009,-1,0,-0.6,-0.1,0
2.3251888,0,0,18.8,0,0,0.03,-0.009,-1,0,-0.6,-0.1,0
2.3351888,0,0,18.8,0,0,0.03,-0.009,-1,0,-0.6,-0.1,0
2.3451888,0,0,18.8,0,0,0.03,-0.009,-1,0,-0.6,-0.1,0
2.3718424,0,0,18.9,0,0,0.028,-0.017,-0.994,0.1,-0.7,0,0
2.3818424,0,0,18.9,0,0,0.028,-0.017,-0.994,0.1,-0.7,0,0
2.3918424,0,0,18.9,0,0,0.028,-0.017,-0.994,0.1,-0.7,0,0
2.4018424,0,0,18.9,0,0,0.028,-0.017,-0.994,0.1,-0.7,0,0
2.4118424,0,0,18.9,0,0,0.028,-0.017,-0.994,0.1,-0.7,0,0
2.4218424,0,0,18.8,0,0,0.028,-0.007,-1.001,0.1,-0.7,0,0
2.4318424,0,0,18.8,0,0,0.028,-0.007,-1.001,0.1,-0.7,0,0
2.4418424,0,0,18.8,0,0,0.028,-0.007,-1.001,0.1,-0.7,0,0
2.4518424,0,0,18.8,0,0,0.028,-0.007,-1.001,0.1,-0.7,0,0
2.4618424,0,0,18.8,0,0,0.028,-0.007,-1.001,0.1,-0.7,0,0
2.4718424,0,0,18.8,0,0,0.026,-0.018,-0.997,0,-0.7,0,0
2.4818424,0,0,18.8,0,0,0.026,-0.018,-0.997,0,-0.7,0,0
2.4918424,0,0,18.8,0,0,0.026,-0.018,-0.997,0,-0.7,0,0
2.5018424,0,0,18.8,0,0,0.026,-0.018,-0.997,0,-0.7,0,0
2.5118424,0,0,18.8,0,0,0.026,-0.018,-0.997,0,-0.7,0,0
2.5218424,0,0,18.8,0,0,0.029,-0.008,-1,0,-0.7,-0.1,0
2.5318424,0,0,18.8,0,0,0.029,-0.008,-1,0,-0.7,-0.1,0
2.5418424,0,0,18.8,0,0,0.029,-0.008,-1,0,-0.7,-0.1,0
2.5518424,0,0,18.8,0,0,0.029,-0.008,-1,0,-0.7,-0.1,0
2.5618424,0,0,18.8,0,0,0.029,-0.008,-1,0,-0.7,-0.1,0
2.5718424,0,0,18.9,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
2.5818424,0,0,18.9,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
2.5918424,0,0,18.9,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
2.6018424,0,0,18.9,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
2.6118424,0,0,18.9,0,0,0.028,-0.014,-0.998,0.1,-0.7,0,0
2.6218424,0,0,18.8,0,0,0.026,-0.011,-0.999,0,-0.7,0,0
2.6318424,0,0,18.8,0,0,0.026,-0.011,-0.999,0,-0.7,0,0
2.6418424,0,0,18.8,0,0,0.026,-0.011,-0.999,0,-0.7,0,0
2.6518424,0,0,18.8,0,0,0.026,-0.011,-0.999,0,-0.7,0,0
2.6618424,0,0,18.8,0,0,0.026,-0.011,-0.999,0,-0.7,0,0
2.6718424,0,0,18.9,0,0,0.028,-0.012,-1,0.1,-0.7,0,0
2.6818424,0,0,18.9,0,0,0.028,-0.012,-1,0.1,-0.7,0,0
2.6918424,0,0,18.9,0,0,0.028,-0.012,-1,0.1,-0.7,0,0
2.7018424,0,0,18.9,0,0,0.028,-0.012,-1,0.1,-0.7,0,0
2.7118424,0,0,18.9,0,0,0.028,-0.012,-1,0.1,-0.7,0,0
2.7218424,0,0,18.9,0,0,0.028,-0.013,-1,0,-0.7,0,0
2.7318424,0,0,18.9,0,0,0.028,-0.013,-1,0,-0.7,0,0
2.7418424,0,0,18.9,0,0,0.028,-0.013,-1,0,-0.7,0,0
2.7518424,0,0,18.9,0,0,0.028,-0.013,-1,0,-0.7,0,0
2.7618424,0,0,18.9,0,0,0.028,-0.013,-1,0,-0.7,0,0
2.7718424,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.7818424,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.7918424,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.8018424,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.8118424,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.8218424,0,0,18.8,0,0,0.029,-0.014,-0.998,0,-0.7,0,0
2.8318424,0,0,18.8,0,0,0.029,-0.014,-0.998,0,-0.7,0,0
2.8418424,0,0,18.8,0,0,0.029,-0.014,-0.998,0,-0.7,0,0
2.8518424,0,0,18.8,0,0,0.029,-0.014,-0.998,0,-0.7,0,0
2.8618424,0,0,18.8,0,0,0.029,-0.014,-0.998,0,-0.7,0,0
2.8718424,0,0,18.8,0,0,0.027,-0.009,-0.999,0,-0.7,0,0
2.8818424,0,0,18.8,0,0,0.027,-0.009,-0.999,0,-0.7,0,0
2.8918424,0,0,18.8,0,0,0.027,-0.009,-0.999,0,-0.7,0,0
2.9018424,0,0,18.8,0,0,0.027,-0.009,-0.999,0,-0.7,0,0
2.9118424,0,0,18.8,0,0,0.027,-0.009,-0.999,0,-0.7,0,0
2.9218424,0,0,18.8,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.9318424,0,0,18.8,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.9418424,0,0,18.8,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.9518424,0,0,18.8,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.9618424,0,0,18.8,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
2.9718424,0,0,18.8,0,0,0.029,-0.011,-0.998,0,-0.7,0,0
2.9818424,0,0,18.8,0,0,0.029,-0.011,-0.998,0,-0.7,0,0
2.9918424,0,0,18.8,0,0,0.029,-0.011,-0.998,0,-0.7,0,0
3.0018424,0,0,18.8,0,0,0.029,-0.011,-0.998,0,-0.7,0,0
3.0118424,0,0,18.8,0,0,0.029,-0.011,-0.998,0,-0.7,0,0
3.0218424,0,0,18.8,0,0,0.027,-0.013,-1,0,-0.6,0,0
3.0318424,0,0,18.8,0,0,0.027,-0.013,-1,0,-0.6,0,0
3.0418424,0,0,18.8,0,0,0.027,-0.013,-1,0,-0.6,0,0
3.0518424,0,0,18.8,0,0,0.027,-0.013,-1,0,-0.6,0,0
3.0618424,0,0,18.8,0,0,0.027,-0.013,-1,0,-0.6,0,0
3.0718424,0,0,18.9,0,0,0.027,-0.012,-0.997,0.1,-0.7,0,0
3.0818424,0,0,18.9,0,0,0.027,-0.012,-0.997,0.1,-0.7,0,0
3.0918424,0,0,18.9,0,0,0.027,-0.012,-0.997,0.1,-0.7,0,0
3.1018424,0,0,18.9,0,0,0.027,-0.012,-0.997,0.1,-0.7,0,0
3.1118424,0,0,18.9,0,0,0.027,-0.012,-0.997,0.1,-0.7,0,0
3.1218424,0,0,18.9,0,0,0.026,-0.012,-0.998,0.1,-0.7,0,0
3.1318424,0,0,18.9,0,0,0.026,-0.012,-0.998,0.1,-0.7,0,0
3.1418424,0,0,18.9,0,0,0.026,-0.012,-0.998,0.1,-0.7,0,0
3.1518424,0,0,18.9,0,0,0.026,-0.012,-0.998,0.1,-0.7,0,0
3.1618424,0,0,18.9,0,0,0.026,-0.012,-0.998,0.1,-0.7,0,0
3.1718424,0,0,18.9,0,0,0.028,-0.013,-0.999,0,-0.7,0,0
3.1818424,0,0,18.9,0,0,0.028,-0.013,-0.999,0,-0.7,0,0
3.1918424,0,0,18.9,0,0,0.028,-0.013,-0.999,0,-0.7,0,0
3.2018424,0,0,18.9,0,0,0.028,-0.013,-0.999,0,-0.7,0,0
3.2118424,0,0,18.9,0,0,0.028,-0.013,-0.999,0,-0.7,0,0
