Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
15.4937855,148,-0.01,19,25,24
15.5037855,134,-0.01,19,25,24
15.5137855,142,-0.01,19,25,24
15.5237855,134,-0.01,19,25,24
15.5337855,136,-0.01,19,25,24
15.5437855,147,-0.01,19,25,24
15.5537855,138,-0.01,19,25,24
15.5637855,145,-0.01,19,25,24
15.5737855,128,-0.01,19,25,24
15.5837855,137,-0.01,19,25,24
15.603101,140,0.009,19,25,24
15.613101,150,0.009,19,25,24
15.623101,137,0.009,19,25,24
15.633101,130,0.009,19,25,24
15.643101,141,0.009,19,25,24
15.653101,135,0.009,19,25,24
15.663101,150,0.009,19,25,24
15.673101,139,0.009,19,25,24
15.683101,142,0.009,19,25,24
15.693101,127,0.009,19,25,24
15.8558315,150,-0.003,19,25,24
15.8658315,138,-0.003,19,25,24
15.8758315,141,-0.003,19,25,24
15.8858315,139,-0.003,19,25,24
15.8958315,140,-0.003,19,25,24
15.9058315,130,-0.003,19,25,24
15.9158315,147,-0.003,19,25,24
15.9258315,139,-0.003,19,25,24
15.9358315,144,-0.003,19,25,24
15.9458315,145,-0.003,19,25,24
16.0261202,140,-0,19,25,24
16.0361202,148,-0,19,25,24
16.0461202,134,-0,19,25,24
16.0561202,146,-0,19,25,24
16.0661202,132,-0,19,25,24
16.0761202,141,-0,19,25,24
16.0861202,133,-0,19,25,24
16.0961202,150,-0,19,25,24
16.1061202,142,-0,19,25,24
16.1161202,128,-0,19,25,24
16.2551642,143,-0.005,19,25,24
16.2651642,142,-0.005,19,25,24
16.2751642,141,-0.005,19,25,24
16.2851642,130,-0.005,19,25,24
16.2951642,146,-0.005,19,25,24
16.3051642,135,-0.005,19,25,24
16.3151642,149,-0.005,19,25,24
16.3251642,146,-0.005,19,25,24
16.3351642,121,-0.005,19,25,24
16.3451642,142,-0.005,19,25,24
16.4154408,143,0.008,19,25,24
16.4254408,132,0.008,19,25,24
16.4354408,142,0.008,19,25,24
16.4454408,136,0.008,19,25,24
16.4554408,148,0.008,19,25,24
16.4654408,139,0.008,19,25,24
16.4754408,142,0.008,19,25,24
16.4854408,129,0.008,19,25,24
16.4954408,141,0.008,19,25,24
16.5054408,149,0.008,19,25,24
16.5029984,133,-0.016,19,25,24
16.5129984,145,-0.016,19,25,24
16.5229984,133,-0.016,19,25,24
16.5329984,139,-0.016,19,25,24
16.5429984,136,-0.016,19,25,24
16.5529984,151,-0.016,19,25,24
16.5629984,142,-0.016,19,25,24
16.5729984,128,-0.016,19,25,24
16.5829984,141,-0.016,19,25,24
16.5929984,141,-0.016,19,25,24
16.6405645,131,0.012,19,25,24
16.6505645,148,0.012,19,25,24
16.6605645,130,0.012,19,25,24
16.6705645,147,0.012,19,25,24
16.6805645,151,0.012,19,25,24
16.6905645,136,0.012,19,25,24
16.7005645,134,0.012,19,25,24
16.7105645,138,0.012,19,25,24
16.7205645,141,0.012,19,25,24
16.7305645,143,0.012,19,25,24
16.8040769,142,-0.004,19,25,24
16.8140769,150,-0.004,19,25,24
16.8240769,134,-0.004,19,25,24
16.8340769,145,-0.004,19,25,24
16.8440769,133,-0.004,19,25,24
16.8540769,141,-0.004,19,25,24
16.8640769,136,-0.004,19,25,24
16.8740769,149,-0.004,19,25,24
16.8840769,139,-0.004,19,25,24
16.8940769,134,-0.004,19,25,24
17.0513982,129,0.012,19,25,24
17.0613982,141,0.012,19,25,24
17.0713982,141,0.012,19,25,24
17.0813982,147,0.012,19,25,24
17.0913982,136,0.012,19,25,24
17.1013982,142,0.012,19,25,24
17.1113982,140,0.012,19,25,24
17.1213982,130,0.012,19,25,24
17.1313982,148,0.012,19,25,24
17.1413982,152,0.012,19,25,24
17.0857857,139,0.014,19,25,24
17.0957857,120,0.014,19,25,24
17.1057857,152,0.014,19,25,24
17.1157857,138,0.014,19,25,24
17.1257857,145,0.014,19,25,24
17.1357857,142,0.014,19,25,24
17.1457857,129,0.014,19,25,24
17.1557857,146,0.014,19,25,24
17.1657857,134,0.014,19,25,24
17.1757857,146,0.014,19,25,24
17.2396209,134,-0.015,19,25,24
17.2496209,146,-0.015,19,25,24
