Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
2.9701641,0,0,18.8,0,0,0.03,-0.007,-1.001,0.1,-0.7,0,0
2.9801641,0,0,18.8,0,0,0.03,-0.007,-1.001,0.1,-0.7,0,0
2.9901641,0,0,18.8,0,0,0.03,-0.007,-1.001,0.1,-0.7,0,0
3.0001641,0,0,18.8,0,0,0.03,-0.007,-1.001,0.1,-0.7,0,0
3.0101641,0,0,18.8,0,0,0.03,-0.007,-1.001,0.1,-0.7,0,0
3.0201641,0,0,18.8,0,0,0.028,-0.01,-1,0.1,-0.6,0,0
3.0301641,0,0,18.8,0,0,0.028,-0.01,-1,0.1,-0.6,0,0
3.0401641,0,0,18.8,0,0,0.028,-0.01,-1,0.1,-0.6,0,0
3.0501641,0,0,18.8,0,0,0.028,-0.01,-1,0.1,-0.6,0,0
3.0601641,0,0,18.8,0,0,0.028,-0.01,-1,0.1,-0.6,0,0
3.0938137,0,0,18.9,0,0,0.027,-0.011,-1,0.1,-0.7,0,0
3.1038137,0,0,18.9,0,0,0.027,-0.011,-1,0.1,-0.7,0,0
3.1138137,0,0,18.9,0,0,0.027,-0.011,-1,0.1,-0.7,0,0
3.1238137,0,0,18.9,0,0,0.027,-0.011,-1,0.1,-0.7,0,0
3.1338137,0,0,18.9,0,0,0.027,-0.011,-1,0.1,-0.7,0,0
3.1438137,0,0,18.8,0,0,0.028,-0.009,-1,0.1,-0.7,0,0
3.1538137,0,0,18.8,0,0,0.028,-0.009,-1,0.1,-0.7,0,0
3.1638137,0,0,18.8,0,0,0.028,-0.009,-1,0.1,-0.7,0,0
3.1738137,0,0,18.8,0,0,0.028,-0.009,-1,0.1,-0.7,0,0
3.1838137,0,0,18.8,0,0,0.028,-0.009,-1,0.1,-0.7,0,0
3.2278432,0,0,18.9,0,0,0.027,-0.014,-1.001,0.1,-0.6,0,0
3.2378432,0,0,18.9,0,0,0.027,-0.014,-1.001,0.1,-0.6,0,0
3.2478432,0,0,18.9,0,0,0.027,-0.014,-1.001,0.1,-0.6,0,0
3.2578432,0,0,18.9,0,0,0.027,-0.014,-1.001,0.1,-0.6,0,0
3.2678432,0,0,18.9,0,0,0.027,-0.014,-1.001,0.1,-0.6,0,0
