Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
3.1092863,0,0,18.8,0,0,0.03,-0.013,-0.999,0.2,-0.6,0
3.1192863,0,0,18.8,0,0,0.03,-0.013,-0.999,0.2,-0.6,0
3.1292863,0,0,18.8,0,0,0.03,-0.013,-0.999,0.2,-0.6,0
3.1392863,0,0,18.8,0,0,0.03,-0.013,-0.999,0.2,-0.6,0
3.1492863,0,0,18.8,0,0,0.03,-0.013,-0.999,0.2,-0.6,0
3.1592863,0,0,18.9,0,0,0.03,-0.015,-1,0.3,-0.5,0
3.1692863,0,0,18.9,0,0,0.03,-0.015,-1,0.3,-0.5,0
3.1792863,0,0,18.9,0,0,0.03,-0.015,-1,0.3,-0.5,0
3.1892863,0,0,18.9,0,0,0.03,-0.015,-1,0.3,-0.5,0
3.1992863,0,0,18.9,0,0,0.03,-0.015,-1,0.3,-0.5,0
3.2092863,0,0,18.8,0,0,0.029,-0.013,-1,0.2,-0.4,0
3.2192863,0,0,18.8,0,0,0.029,-0.013,-1,0.2,-0.4,0
3.2292863,0,0,18.8,0,0,0.029,-0.013,-1,0.2,-0.4,0
3.2392863,0,0,18.8,0,0,0.029,-0.013,-1,0.2,-0.4,0
3.2492863,0,0,18.8,0,0,0.029,-0.013,-1,0.2,-0.4,0
3.2792236,0,0,18.9,0,0,0.029,-0.015,-0.999,0.3,-0.6,0
3.2892236,0,0,18.9,0,0,0.029,-0.015,-0.999,0.3,-0.6,0
3.2992236,0,0,18.9,0,0,0.029,-0.015,-0.999,0.3,-0.6,0
3.3092236,0,0,18.9,0,0,0.029,-0.015,-0.999,0.3,-0.6,0
3.3192236,0,0,18.9,0,0,0.029,-0.015,-0.999,0.3,-0.6,0
3.3759742,0,0,18.9,0,0,0.03,-0.012,-0.999,0.2,-0.4,0
3.3859742,0,0,18.9,0,0,0.03,-0.012,-0.999,0.2,-0.4,0
3.3959742,0,0,18.9,0,0,0.03,-0.012,-0.999,0.2,-0.4,0
3.4059742,0,0,18.9,0,0,0.03,-0.012,-0.999,0.2,-0.4,0
3.4159742,0,0,18.9,0,0,0.03,-0.012,-0.999,0.2,-0.4,0
3.4397553,0,0,18.9,0,0,0.03,-0.014,-0.999,0.3,-0.4,0
3.4497553,0,0,18.9,0,0,0.03,-0.014,-0.999,0.3,-0.4,0
3.4597553,0,0,18.9,0,0,0.03,-0.014,-0.999,0.3,-0.4,0
3.4697553,0,0,18.9,0,0,0.03,-0.014,-0.999,0.3,-0.4,0
3.4797553,0,0,18.9,0,0,0.03,-0.014,-0.999,0.3,-0.4,0
3.5036052,0,0,18.8,0,0,0.031,-0.013,-1,0.3,-0.6,0
3.5136052,0,0,18.8,0,0,0.031,-0.013,-1,0.3,-0.6,0
3.5236052,0,0,18.8,0,0,0.031,-0.013,-1,0.3,-0.6,0
3.5336052,0,0,18.8,0,0,0.031,-0.013,-1,0.3,-0.6,0
3.5436052,0,0,18.8,0,0,0.031,-0.013,-1,0.3,-0.6,0
3.5536052,0,0,18.9,0,0,0.03,-0.013,-1.001,0.3,-0.5,0
3.5636052,0,0,18.9,0,0,0.03,-0.013,-1.001,0.3,-0.5,0
3.5736052,0,0,18.9,0,0,0.03,-0.013,-1.001,0.3,-0.5,0
3.5836052,0,0,18.9,0,0,0.03,-0.013,-1.001,0.3,-0.5,0
3.5936052,0,0,18.9,0,0,0.03,-0.013,-1.001,0.3,-0.5,0
3.6036052,0,0,18.8,0,0,0.03,-0.014,-1,0.3,-0.5,0
3.6136052,0,0,18.8,0,0,0.03,-0.014,-1,0.3,-0.5,0
3.6236052,0,0,18.8,0,0,0.03,-0.014,-1,0.3,-0.5,0
3.6336052,0,0,18.8,0,0,0.03,-0.014,-1,0.3,-0.5,0
3.6436052,0,0,18.8,0,0,0.03,-0.014,-1,0.3,-0.5,0
3.6637913,0,0,18.8,0,0,0.028,-0.014,-1,0.3,-0.5,0
3.6737913,0,0,18.8,0,0,0.028,-0.014,-1,0.3,-0.5,0
3.6837913,0,0,18.8,0,0,0.028,-0.014,-1,0.3,-0.5,0
3.6937913,0,0,18.8,0,0,0.028,-0.014,-1,0.3,-0.5,0
3.7037913,0,0,18.8,0,0,0.028,-0.014,-1,0.3,-0.5,0
3.7421966,0,0,18.8,0,0,0.03,-0.013,-0.999,0.3,-0.5,0
3.7521966,0,0,18.8,0,0,0.03,-0.013,-0.999,0.3,-0.5,0
3.7621966,0,0,18.8,0,0,0.03,-0.013,-0.999,0.3,-0.5,0
3.7721966,0,0,18.8,0,0,0.03,-0.013,-0.999,0.3,-0.5,0
3.7821966,0,0,18.8,0,0,0.03,-0.013,-0.999,0.3,-0.5,0
3.7921966,0,0,18.8,0,0,0.028,-0.013,-1,0.2,-0.6,0
3.8021966,0,0,18.8,0,0,0.028,-0.013,-1,0.2,-0.6,0
3.8121966,0,0,18.8,0,0,0.028,-0.013,-1,0.2,-0.6,0
3.8221966,0,0,18.8,0,0,0.028,-0.013,-1,0.2,-0.6,0
3.8321966,0,0,18.8,0,0,0.028,-0.013,-1,0.2,-0.6,0
3.8421966,0,0,18.9,0,0,0.029,-0.014,-1,0.2,-0.5,0
3.8521966,0,0,18.9,0,0,0.029,-0.014,-1,0.2,-0.5,0
3.8621966,0,0,18.9,0,0,0.029,-0.014,-1,0.2,-0.5,0
3.8721966,0,0,18.9,0,0,0.029,-0.014,-1,0.2,-0.5,0
3.8821966,0,0,18.9,0,0,0.029,-0.014,-1,0.2,-0.5,0
3.8921966,0,0,18.8,0,0,0.029,-0.014,-0.999,0.3,-0.5,0
3.9021966,0,0,18.8,0,0,0.029,-0.014,-0.999,0.3,-0.5,0
3.9121966,0,0,18.8,0,0,0.029,-0.014,-0.999,0.3,-0.5,0
3.9221966,0,0,18.8,0,0,0.029,-0.014,-0.999,0.3,-0.5,0
3.9321966,0,0,18.8,0,0,0.029,-0.014,-0.999,0.3,-0.5,0
3.9421966,0,0,18.9,0,0,0.031,-0.013,-0.999,0.2,-0.4,0
3.9521966,0,0,18.9,0,0,0.031,-0.013,-0.999,0.2,-0.4,0
3.9621966,0,0,18.9,0,0,0.031,-0.013,-0.999,0.2,-0.4,0
3.9721966,0,0,18.9,0,0,0.031,-0.013,-0.999,0.2,-0.4,0
3.9821966,0,0,18.9,0,0,0.031,-0.013,-0.999,0.2,-0.4,0
3.9921966,0,0,18.9,0,0,0.029,-0.012,-0.999,0.3,-0.5,0
4.0021966,0,0,18.9,0,0,0.029,-0.012,-0.999,0.3,-0.5,0
