Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
3.5290179,0,0,18.9,0,0,0.025,-0.011,-1.009,0.1,-0.6,0,0
3.5390179,0,0,18.9,0,0,0.025,-0.011,-1.009,0.1,-0.6,0,0
3.5490179,0,0,18.9,0,0,0.025,-0.011,-1.009,0.1,-0.6,0,0
3.5590179,0,0,18.9,0,0,0.025,-0.011,-1.009,0.1,-0.6,0,0
3.5690179,0,0,18.9,0,0,0.025,-0.011,-1.009,0.1,-0.6,0,0
3.5790179,0,0,18.9,0,0,0.028,-0.014,-1.003,0.1,-0.6,0,0
3.5890179,0,0,18.9,0,0,0.028,-0.014,-1.003,0.1,-0.6,0,0
3.5990179,0,0,18.9,0,0,0.028,-0.014,-1.003,0.1,-0.6,0,0
3.6090179,0,0,18.9,0,0,0.028,-0.014,-1.003,0.1,-0.6,0,0
3.6190179,0,0,18.9,0,0,0.028,-0.014,-1.003,0.1,-0.6,0,0
3.6469755,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
3.6569755,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
3.6669755,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
3.6769755,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
3.6869755,0,0,18.9,0,0,0.027,-0.013,-0.999,0.1,-0.7,0,0
3.6969755,0,0,18.9,0,0,0.028,-0.015,-1.002,0.2,-0.6,0,0
3.7069755,0,0,18.9,0,0,0.028,-0.015,-1.002,0.2,-0.6,0,0
3.7169755,0,0,18.9,0,0,0.028,-0.015,-1.002,0.2,-0.6,0,0
3.7269755,0,0,18.9,0,0,0.028,-0.015,-1.002,0.2,-0.6,0,0
3.7369755,0,0,18.9,0,0,0.028,-0.015,-1.002,0.2,-0.6,0,0
3.7469755,0,0,18.9,0,0,0.025,-0.011,-1,0.1,-0.7,0,0
3.7569755,0,0,18.9,0,0,0.025,-0.011,-1,0.1,-0.7,0,0
3.7669755,0,0,18.9,0,0,0.025,-0.011,-1,0.1,-0.7,0,0
3.7769755,0,0,18.9,0,0,0.025,-0.011,-1,0.1,-0.7,0,0
3.7869755,0,0,18.9,0,0,0.025,-0.011,-1,0.1,-0.7,0,0
3.7969755,0,0,18.9,0,0,0.029,-0.014,-1.002,0.2,-0.7,0,0
3.8069755,0,0,18.9,0,0,0.029,-0.014,-1.002,0.2,-0.7,0,0
3.8169755,0,0,18.9,0,0,0.029,-0.014,-1.002,0.2,-0.7,0,0
3.8269755,0,0,18.9,0,0,0.029,-0.014,-1.002,0.2,-0.7,0,0
3.8369755,0,0,18.9,0,0,0.029,-0.014,-1.002,0.2,-0.7,0,0
3.8469755,0,0,18.8,0,0,0.026,-0.011,-1.002,0.2,-0.7,0,0
3.8569755,0,0,18.8,0,0,0.026,-0.011,-1.002,0.2,-0.7,0,0
3.8669755,0,0,18.8,0,0,0.026,-0.011,-1.002,0.2,-0.7,0,0
3.8769755,0,0,18.8,0,0,0.026,-0.011,-1.002,0.2,-0.7,0,0
3.8869755,0,0,18.8,0,0,0.026,-0.011,-1.002,0.2,-0.7,0,0
3.8969755,0,0,18.9,0,0,0.027,-0.015,-1,0.1,-0.7,0,0
3.9069755,0,0,18.9,0,0,0.027,-0.015,-1,0.1,-0.7,0,0
3.9169755,0,0,18.9,0,0,0.027,-0.015,-1,0.1,-0.7,0,0
3.9269755,0,0,18.9,0,0,0.027,-0.015,-1,0.1,-0.7,0,0
3.9369755,0,0,18.9,0,0,0.027,-0.015,-1,0.1,-0.7,0,0
3.9469755,0,0,18.9,0,0,0.028,-0.011,-1.001,0.2,-0.7,0,0
3.9569755,0,0,18.9,0,0,0.028,-0.011,-1.001,0.2,-0.7,0,0
3.9669755,0,0,18.9,0,0,0.028,-0.011,-1.001,0.2,-0.7,0,0
3.9769755,0,0,18.9,0,0,0.028,-0.011,-1.001,0.2,-0.7,0,0
3.9869755,0,0,18.9,0,0,0.028,-0.011,-1.001,0.2,-0.7,0,0
3.9969755,0,0,18.8,0,0,0.026,-0.016,-1.002,0.1,-0.7,0,0
4.0069755,0,0,18.8,0,0,0.026,-0.016,-1.002,0.1,-0.7,0,0
4.0169755,0,0,18.8,0,0,0.026,-0.016,-1.002,0.1,-0.7,0,0
4.0269755,0,0,18.8,0,0,0.026,-0.016,-1.002,0.1,-0.7,0,0
4.0369755,0,0,18.8,0,0,0.026,-0.016,-1.002,0.1,-0.7,0,0
4.0469755,0,0,18.8,0,0,0.028,-0.01,-1.002,0.1,-0.6,0,0
4.0569755,0,0,18.8,0,0,0.028,-0.01,-1.002,0.1,-0.6,0,0
4.0669755,0,0,18.8,0,0,0.028,-0.01,-1.002,0.1,-0.6,0,0
4.0769755,0,0,18.8,0,0,0.028,-0.01,-1.002,0.1,-0.6,0,0
4.0869755,0,0,18.8,0,0,0.028,-0.01,-1.002,0.1,-0.6,0,0
4.0969755,0,0,18.8,0,0,0.025,-0.013,-1.002,0.1,-0.6,0,0
