Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
18.3076261,142,-0.007,19,26,26
18.3176261,126,-0.007,19,26,26
18.3276261,113,-0.007,19,26,26
18.3376261,143,-0.007,19,26,26
18.3476261,132,-0.007,19,26,26
18.4643947,133,-0.004,19,26,26
18.4743947,139,-0.004,19,26,26
18.4843947,125,-0.004,19,26,26
18.4943947,137,-0.004,19,26,26
18.5043947,123,-0.004,19,26,26
18.5143947,133,-0.004,19,26,26
18.5243947,128,-0.004,19,26,26
18.5343947,139,-0.004,19,26,26
18.5443947,137,-0.004,19,26,26
18.5543947,121,-0.004,19,26,26
18.7110782,127,-0.012,19,26,26
18.7210782,130,-0.012,19,26,26
18.7310782,125,-0.012,19,26,26
18.7410782,140,-0.012,19,26,26
18.7510782,122,-0.012,19,26,26
18.7610782,148,-0.012,19,26,26
18.7710782,130,-0.012,19,26,26
18.7810782,113,-0.012,19,26,26
18.7910782,140,-0.012,19,26,26
18.8010782,130,-0.012,19,26,26
18.963681,127,-0.008,19,26,26
18.973681,134,-0.008,19,26,26
18.983681,126,-0.008,19,26,26
18.993681,132,-0.008,19,26,26
19.003681,128,-0.008,19,26,26
19.013681,141,-0.008,19,26,26
19.023681,129,-0.008,19,26,26
19.033681,136,-0.008,19,26,26
19.043681,120,-0.008,19,26,26
19.053681,131,-0.008,19,26,26
19.0442096,131,-0.003,19,26,26
19.0542096,140,-0.003,19,26,26
19.0642096,130,-0.003,19,26,26
19.0742096,125,-0.003,19,26,26
19.0842096,131,-0.003,19,26,26
19.0942096,127,-0.003,19,26,26
19.1042096,142,-0.003,19,26,26
19.1142096,131,-0.003,19,26,26
19.1242096,133,-0.003,19,26,26
19.1342096,119,-0.003,19,26,26
19.1879346,127,-0,19,26,26
19.1979346,133,-0,19,26,26
19.2079346,125,-0,19,26,26
19.2179346,140,-0,19,26,26
19.2279346,122,-0,19,26,26
19.2379346,138,-0,19,26,26
19.2479346,144,-0,19,26,26
19.2579346,132,-0,19,26,26
19.2679346,110,-0,19,26,26
19.2779346,143,-0,19,26,26
19.2801426,133,-0.002,19,26,26
19.2901426,134,-0.002,19,26,26
19.3001426,131,-0.002,19,26,26
19.3101426,134,-0.002,19,26,26
19.3201426,123,-0.002,19,26,26
19.3301426,138,-0.002,19,26,26
19.3401426,124,-0.002,19,26,26
19.3501426,144,-0.002,19,26,26
19.3601426,137,-0.002,19,26,26
19.3701426,115,-0.002,19,26,26
19.4213719,133,0.008,19,26,26
19.4313719,133,0.008,19,26,26
19.4413719,140,0.008,19,26,26
19.4513719,127,0.008,19,26,26
19.4613719,136,0.008,19,26,26
19.4713719,125,0.008,19,26,26
19.4813719,133,0.008,19,26,26
19.4913719,128,0.008,19,26,26
19.5013719,140,0.008,19,26,26
19.5113719,130,0.008,19,26,26
19.5484964,139,-0.013,19,26,26
19.5584964,120,-0.013,19,26,26
19.5684964,129,-0.013,19,26,26
19.5784964,131,-0.013,19,26,26
