Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
0.1057322,0,0,18.9,0,0,0.026,-0.012,-1.001,0.3,-0.5,0.1
0.1157322,0,0,18.9,0,0,0.026,-0.012,-1.001,0.3,-0.5,0.1
0.1257322,0,0,18.9,0,0,0.026,-0.012,-1.001,0.3,-0.5,0.1
0.1357322,0,0,18.9,0,0,0.026,-0.012,-1.001,0.3,-0.5,0.1
0.1457322,0,0,18.9,0,0,0.026,-0.012,-1.001,0.3,-0.5,0.1
0.1817515,0,0,18.9,0,0,0.031,-0.016,-1.001,0.2,-0.5,0
0.1917515,0,0,18.9,0,0,0.031,-0.016,-1.001,0.2,-0.5,0
0.2017515,0,0,18.9,0,0,0.031,-0.016,-1.001,0.2,-0.5,0
0.2117515,0,0,18.9,0,0,0.031,-0.016,-1.001,0.2,-0.5,0
0.2217515,0,0,18.9,0,0,0.031,-0.016,-1.001,0.2,-0.5,0
0.2317515,0,0,18.8,0,0,0.025,-0.01,-1,0.3,-0.5,0
0.2417515,0,0,18.8,0,0,0.025,-0.01,-1,0.3,-0.5,0
0.2517515,0,0,18.8,0,0,0.025,-0.01,-1,0.3,-0.5,0
0.2617515,0,0,18.8,0,0,0.025,-0.01,-1,0.3,-0.5,0
0.2717515,0,0,18.8,0,0,0.025,-0.01,-1,0.3,-0.5,0
0.2817515,0,0,18.9,0,0,0.03,-0.017,-1.001,0.1,-0.5,0
0.2917515,0,0,18.9,0,0,0.03,-0.017,-1.001,0.1,-0.5,0
0.3017515,0,0,18.9,0,0,0.03,-0.017,-1.001,0.1,-0.5,0
0.3117515,0,0,18.9,0,0,0.03,-0.017,-1.001,0.1,-0.5,0
0.3217515,0,0,18.9,0,0,0.03,-0.017,-1.001,0.1,-0.5,0
0.3317515,0,0,18.9,0,0,0.028,-0.01,-1.001,0.3,-0.5,0
0.3417515,0,0,18.9,0,0,0.028,-0.01,-1.001,0.3,-0.5,0
0.3517515,0,0,18.9,0,0,0.028,-0.01,-1.001,0.3,-0.5,0
0.3617515,0,0,18.9,0,0,0.028,-0.01,-1.001,0.3,-0.5,0
0.3717515,0,0,18.9,0,0,0.028,-0.01,-1.001,0.3,-0.5,0
0.4071044,0,0,18.8,0,0,0.029,-0.018,-1.002,0.3,-0.5,0
0.4171044,0,0,18.8,0,0,0.029,-0.018,-1.002,0.3,-0.5,0
0.4271044,0,0,18.8,0,0,0.029,-0.018,-1.002,0.3,-0.5,0
0.4371044,0,0,18.8,0,0,0.029,-0.018,-1.002,0.3,-0.5,0
