Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps,Id_A
0.5465863,0,0,18.8,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.5565863,0,0,18.8,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.5665863,0,0,18.8,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.5765863,0,0,18.8,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.5865863,0,0,18.8,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.5965863,0,0,18.9,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.6065863,0,0,18.9,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.6165863,0,0,18.9,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.6265863,0,0,18.9,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.6365863,0,0,18.9,0,0,0.027,-0.013,-1.001,0.1,-0.7,0,0
0.6619771,0,0,18.9,0,0,0.029,-0.011,-1.001,0.1,-0.7,0,0
0.6719771,0,0,18.9,0,0,0.029,-0.011,-1.001,0.1,-0.7,0,0
0.6819771,0,0,18.9,0,0,0.029,-0.011,-1.001,0.1,-0.7,0,0
0.6919771,0,0,18.9,0,0,0.029,-0.011,-1.001,0.1,-0.7,0,0
0.7019771,0,0,18.9,0,0,0.029,-0.011,-1.001,0.1,-0.7,0,0
0.7119771,0,0,18.9,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.7219771,0,0,18.9,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.7319771,0,0,18.9,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.7419771,0,0,18.9,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.7519771,0,0,18.9,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.7619771,0,0,18.9,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.7719771,0,0,18.9,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.7819771,0,0,18.9,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.7919771,0,0,18.9,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8019771,0,0,18.9,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8119771,0,0,18.8,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8219771,0,0,18.8,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8319771,0,0,18.8,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8419771,0,0,18.8,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8519771,0,0,18.8,0,0,0.027,-0.012,-1.001,0.1,-0.7,0,0
0.8619771,0,0,18.9,0,0,0.028,-0.011,-1.001,0.1,-0.7,0,0
0.8719771,0,0,18.9,0,0,0.028,-0.011,-1.001,0.1,-0.7,0,0
0.8819771,0,0,18.9,0,0,0.028,-0.011,-1.001,0.1,-0.7,0,0
0.8919771,0,0,18.9,0,0,0.028,-0.011,-1.001,0.1,-0.7,0,0
0.9019771,0,0,18.9,0,0,0.028,-0.011,-1.001,0.1,-0.7,0,0
0.9119771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.9219771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.9319771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.9419771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.9519771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
0.9619771,0,0,18.9,0,0,0.027,-0.011,-1.001,0.1,-0.7,0,0
0.9719771,0,0,18.9,0,0,0.027,-0.011,-1.001,0.1,-0.7,0,0
0.9819771,0,0,18.9,0,0,0.027,-0.011,-1.001,0.1,-0.7,0,0
0.9919771,0,0,18.9,0,0,0.027,-0.011,-1.001,0.1,-0.7,0,0
1.0019771,0,0,18.9,0,0,0.027,-0.011,-1.001,0.1,-0.7,0,0
1.0119771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
1.0219771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
1.0319771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
1.0419771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
1.0519771,0,0,18.8,0,0,0.028,-0.013,-1.001,0.1,-0.7,0,0
1.0619771,0,0,18.9,0,0,0.027,-0.013,-1,0.1,-0.7,0,0
1.0719771,0,0,18.9,0,0,0.027,-0.013,-1,0.1,-0.7,0,0
1.0819771,0,0,18.9,0,0,0.027,-0.013,-1,0.1,-0.7,0,0
1.0919771,0,0,18.9,0,0,0.027,-0.013,-1,0.1,-0.7,0,0
1.1019771,0,0,18.9,0,0,0.027,-0.013,-1,0.1,-0.7,0,0
1.1119771,0,0,18.8,0,0,0.028,-0.011,-1.002,0.1,-0.7,0,0
1.1219771,0,0,18.8,0,0,0.028,-0.011,-1.002,0.1,-0.7,0,0
1.1319771,0,0,18.8,0,0,0.028,-0.011,-1.002,0.1,-0.7,0,0
1.1419771,0,0,18.8,0,0,0.028,-0.011,-1.002,0.1,-0.7,0,0
1.1519771,0,0,18.8,0,0,0.028,-0.011,-1.002,0.1,-0.7,0,0
1.1619771,0,0,18.9,0,0,0.028,-0.014,-1,0.1,-0.7,0,0
