Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C,AccX_g,AccY_g,AccZ_g,GyrX_dps,GyrY_dps,GyrZ_dps
10.3104472,221,0.01,19,0,0,0.027,-0.015,-1.009,0.3,-0.5,0
10.3204472,212,0.01,19,0,0,0.027,-0.015,-1.009,0.3,-0.5,0
10.3304472,216,0.01,19,0,0,0.027,-0.015,-1.009,0.3,-0.5,0
10.3404472,219,0.01,19,0,0,0.027,-0.015,-1.009,0.3,-0.5,0
10.3504472,208,0.01,19,0,0,0.027,-0.015,-1.009,0.3,-0.5,0
10.3604472,213,0,19,0,0,0.028,-0.014,-0.998,0.2,-0.5,0
10.3704472,216,0,19,0,0,0.028,-0.014,-0.998,0.2,-0.5,0
10.3804472,224,0,19,0,0,0.028,-0.014,-0.998,0.2,-0.5,0
10.3904472,211,0,19,0,0,0.028,-0.014,-0.998,0.2,-0.5,0
10.4004472,216,0,19,0,0,0.028,-0.014,-0.998,0.2,-0.5,0
10.4398157,218,0,19,0,0,0.027,-0.016,-1.007,0.2,-0.9,0
10.4498157,210,0,19,0,0,0.027,-0.016,-1.007,0.2,-0.9,0
10.4598157,214,0,19,0,0,0.027,-0.016,-1.007,0.2,-0.9,0
10.4698157,219,0,19,0,0,0.027,-0.016,-1.007,0.2,-0.9,0
10.4798157,220,0,19,0,0,0.027,-0.016,-1.007,0.2,-0.9,0
10.4898157,216,-0.01,19,0,0,0.028,-0.012,-1.001,0.2,-0.4,0.1
10.4998157,209,-0.01,19,0,0,0.028,-0.012,-1.001,0.2,-0.4,0.1
10.5098157,224,-0.01,19,0,0,0.028,-0.012,-1.001,0.2,-0.4,0.1
10.5198157,205,-0.01,19,0,0,0.028,-0.012,-1.001,0.2,-0.4,0.1
10.5298157,222,-0.01,19,0,0,0.028,-0.012,-1.001,0.2,-0.4,0.1
10.5398157,218,0,19,0,0,0.028,-0.016,-0.996,0.3,-0.7,0
10.5498157,214,0,19,0,0,0.028,-0.016,-0.996,0.3,-0.7,0
10.5598157,226,0,19,0,0,0.028,-0.016,-0.996,0.3,-0.7,0
10.5698157,209,0,19,0,0,0.028,-0.016,-0.996,0.3,-0.7,0
10.5798157,225,0,19,0,0,0.028,-0.016,-0.996,0.3,-0.7,0
10.5898157,209,-0.01,19,0,0,0.026,-0.014,-1.003,0.3,-0.4,0
10.5998157,211,-0.01,19,0,0,0.026,-0.014,-1.003,0.3,-0.4,0
10.6098157,216,-0.01,19,0,0,0.026,-0.014,-1.003,0.3,-0.4,0
10.6198157,217,-0.01,19,0,0,0.026,-0.014,-1.003,0.3,-0.4,0
10.6298157,217,-0.01,19,0,0,0.026,-0.014,-1.003,0.3,-0.4,0
10.6398157,217,0.01,19,0,0,0.028,-0.015,-0.998,0.3,-0.5,0
10.6498157,219,0.01,19,0,0,0.028,-0.015,-0.998,0.3,-0.5,0
10.6598157,211,0.01,19,0,0,0.028,-0.015,-0.998,0.3,-0.5,0
10.6698157,211,0.01,19,0,0,0.028,-0.015,-0.998,0.3,-0.5,0
10.6798157,218,0.01,19,0,0,0.028,-0.015,-0.998,0.3,-0.5,0
10.6898157,217,0,19,0,0,0.029,-0.013,-1.001,0.4,-0.4,0
10.6998157,215,0,19,0,0,0.029,-0.013,-1.001,0.4,-0.4,0
10.7098157,216,0,19,0,0,0.029,-0.013,-1.001,0.4,-0.4,0
10.7198157,220,0,19,0,0,0.029,-0.013,-1.001,0.4,-0.4,0
10.7298157,210,0,19,0,0,0.029,-0.013,-1.001,0.4,-0.4,0
10.7398157,214,0.01,19,0,0,0.028,-0.017,-1.003,0.3,-0.6,0
10.7498157,216,0.01,19,0,0,0.028,-0.017,-1.003,0.3,-0.6,0
10.7598157,215,0.01,19,0,0,0.028,-0.017,-1.003,0.3,-0.6,0
10.7698157,213,0.01,19,0,0,0.028,-0.017,-1.003,0.3,-0.6,0
10.7798157,219,0.01,19,0,0,0.028,-0.017,-1.003,0.3,-0.6,0
10.7898157,226,0,19,0,0,0.028,-0.014,-1.01,0.4,-0.6,0
10.7998157,215,0,19,0,0,0.028,-0.014,-1.01,0.4,-0.6,0
10.8098157,211,0,19,0,0,0.028,-0.014,-1.01,0.4,-0.6,0
10.8198157,217,0,19,0,0,0.028,-0.014,-1.01,0.4,-0.6,0
10.8298157,212,0,19,0,0,0.028,-0.014,-1.01,0.4,-0.6,0
10.8398157,215,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
10.8498157,217,0,19,0,0,0.027,-0.014,-1.002,0.3,-0.6,0
